[2025-01-16T05:41:53.649+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2025-01-16T05:41:53.729+0000] {taskinstance.py:2613} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: movie_pipeline.parse_collection_page manual__2025-01-16T04:38:13.822674+00:00 [queued]>
[2025-01-16T05:41:53.755+0000] {taskinstance.py:2613} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: movie_pipeline.parse_collection_page manual__2025-01-16T04:38:13.822674+00:00 [queued]>
[2025-01-16T05:41:55.845+0000] {parse.py:78} INFO - Cell number: 8 in Row number: 5
[2025-01-16T05:41:55.850+0000] {parse.py:78} INFO - Cell number: 9 in Row number: 5
[2025-01-16T05:41:55.852+0000] {parse.py:78} INFO - Cell number: 10 in Row number: 5
[2025-01-16T05:41:55.854+0000] {parse.py:78} INFO - Cell number: 11 in Row number: 5
[2025-01-16T05:41:55.857+0000] {parse.py:78} INFO - Cell number: 12 in Row number: 5
[2025-01-16T05:41:55.860+0000] {parse.py:70} INFO - Row number: 6 in collection page
[2025-01-16T05:41:55.862+0000] {parse.py:78} INFO - Cell number: 0 in Row number: 6
[2025-01-16T05:41:55.873+0000] {parse.py:78} INFO - Cell number: 1 in Row number: 6
[2025-01-16T05:41:55.876+0000] {parse.py:78} INFO - Cell number: 2 in Row number: 6
[2025-01-16T05:41:55.878+0000] {parse.py:78} INFO - Cell number: 3 in Row number: 6
[2025-01-16T05:41:55.884+0000] {parse.py:78} INFO - Cell number: 4 in Row number: 6
[2025-01-16T05:41:55.892+0000] {parse.py:78} INFO - Cell number: 5 in Row number: 6
[2025-01-16T05:41:55.901+0000] {parse.py:78} INFO - Cell number: 6 in Row number: 6
[2025-01-16T05:41:55.911+0000] {parse.py:78} INFO - Cell number: 7 in Row number: 6
[2025-01-16T05:41:55.919+0000] {parse.py:78} INFO - Cell number: 8 in Row number: 6
[2025-01-16T05:41:55.925+0000] {parse.py:78} INFO - Cell number: 9 in Row number: 6
[2025-01-16T05:41:55.931+0000] {parse.py:78} INFO - Cell number: 10 in Row number: 6
[2025-01-16T05:41:55.939+0000] {parse.py:78} INFO - Cell number: 11 in Row number: 6
[2025-01-16T05:41:55.946+0000] {parse.py:78} INFO - Cell number: 12 in Row number: 6
[2025-01-16T05:41:55.953+0000] {parse.py:70} INFO - Row number: 7 in collection page
[2025-01-16T05:41:55.959+0000] {parse.py:78} INFO - Cell number: 0 in Row number: 7
[2025-01-16T05:41:55.966+0000] {parse.py:78} INFO - Cell number: 1 in Row number: 7
[2025-01-16T05:41:55.972+0000] {parse.py:78} INFO - Cell number: 2 in Row number: 7
[2025-01-16T05:41:55.976+0000] {parse.py:78} INFO - Cell number: 3 in Row number: 7
[2025-01-16T05:41:55.977+0000] {parse.py:78} INFO - Cell number: 4 in Row number: 7
[2025-01-16T05:41:55.979+0000] {parse.py:78} INFO - Cell number: 5 in Row number: 7
[2025-01-16T05:41:55.981+0000] {parse.py:78} INFO - Cell number: 6 in Row number: 7
[2025-01-16T05:41:55.982+0000] {parse.py:78} INFO - Cell number: 7 in Row number: 7
[2025-01-16T05:41:55.984+0000] {parse.py:78} INFO - Cell number: 8 in Row number: 7
[2025-01-16T05:41:55.985+0000] {parse.py:78} INFO - Cell number: 9 in Row number: 7
[2025-01-16T05:41:55.987+0000] {parse.py:78} INFO - Cell number: 10 in Row number: 7
[2025-01-16T05:41:55.988+0000] {parse.py:78} INFO - Cell number: 11 in Row number: 7
[2025-01-16T05:41:55.992+0000] {parse.py:78} INFO - Cell number: 12 in Row number: 7
[2025-01-16T05:41:55.993+0000] {parse.py:70} INFO - Row number: 8 in collection page
[2025-01-16T05:41:55.994+0000] {parse.py:78} INFO - Cell number: 0 in Row number: 8
[2025-01-16T05:41:55.996+0000] {parse.py:78} INFO - Cell number: 1 in Row number: 8
[2025-01-16T05:41:55.997+0000] {parse.py:78} INFO - Cell number: 2 in Row number: 8
[2025-01-16T05:41:55.999+0000] {parse.py:78} INFO - Cell number: 3 in Row number: 8
[2025-01-16T05:41:56.000+0000] {parse.py:78} INFO - Cell number: 4 in Row number: 8
[2025-01-16T05:41:56.002+0000] {parse.py:78} INFO - Cell number: 5 in Row number: 8
[2025-01-16T05:41:56.003+0000] {parse.py:78} INFO - Cell number: 6 in Row number: 8
[2025-01-16T05:41:56.004+0000] {parse.py:78} INFO - Cell number: 7 in Row number: 8
[2025-01-16T05:41:56.005+0000] {parse.py:78} INFO - Cell number: 8 in Row number: 8
[2025-01-16T05:41:56.006+0000] {parse.py:78} INFO - Cell number: 9 in Row number: 8
[2025-01-16T05:41:56.008+0000] {parse.py:78} INFO - Cell number: 10 in Row number: 8
[2025-01-16T05:41:56.010+0000] {parse.py:78} INFO - Cell number: 11 in Row number: 8
[2025-01-16T05:41:56.011+0000] {parse.py:78} INFO - Cell number: 12 in Row number: 8
[2025-01-16T05:41:56.012+0000] {parse.py:70} INFO - Row number: 9 in collection page
[2025-01-16T05:41:56.014+0000] {parse.py:78} INFO - Cell number: 0 in Row number: 9
[2025-01-16T05:41:56.015+0000] {parse.py:78} INFO - Cell number: 1 in Row number: 9
[2025-01-16T05:41:56.016+0000] {parse.py:78} INFO - Cell number: 2 in Row number: 9
[2025-01-16T05:41:56.017+0000] {parse.py:78} INFO - Cell number: 3 in Row number: 9
[2025-01-16T05:41:56.020+0000] {parse.py:78} INFO - Cell number: 4 in Row number: 9
[2025-01-16T05:41:56.021+0000] {parse.py:78} INFO - Cell number: 5 in Row number: 9
[2025-01-16T05:41:56.023+0000] {parse.py:78} INFO - Cell number: 6 in Row number: 9
[2025-01-16T05:41:56.024+0000] {parse.py:78} INFO - Cell number: 7 in Row number: 9
[2025-01-16T05:41:56.025+0000] {parse.py:78} INFO - Cell number: 8 in Row number: 9
[2025-01-16T05:41:56.027+0000] {parse.py:78} INFO - Cell number: 9 in Row number: 9
[2025-01-16T05:41:56.028+0000] {parse.py:78} INFO - Cell number: 10 in Row number: 9
[2025-01-16T05:41:56.030+0000] {parse.py:78} INFO - Cell number: 11 in Row number: 9
[2025-01-16T05:41:56.031+0000] {parse.py:78} INFO - Cell number: 12 in Row number: 9
[2025-01-16T05:41:56.033+0000] {parse.py:70} INFO - Row number: 10 in collection page
[2025-01-16T05:41:56.034+0000] {parse.py:78} INFO - Cell number: 0 in Row number: 10
[2025-01-16T05:41:56.035+0000] {parse.py:78} INFO - Cell number: 1 in Row number: 10
[2025-01-16T05:41:56.037+0000] {parse.py:78} INFO - Cell number: 2 in Row number: 10
[2025-01-16T05:41:56.038+0000] {parse.py:78} INFO - Cell number: 3 in Row number: 10
[2025-01-16T05:41:56.039+0000] {parse.py:78} INFO - Cell number: 4 in Row number: 10
[2025-01-16T05:41:56.040+0000] {parse.py:78} INFO - Cell number: 5 in Row number: 10
[2025-01-16T05:41:56.041+0000] {parse.py:78} INFO - Cell number: 6 in Row number: 10
[2025-01-16T05:41:56.043+0000] {parse.py:78} INFO - Cell number: 7 in Row number: 10
[2025-01-16T05:41:56.044+0000] {parse.py:78} INFO - Cell number: 8 in Row number: 10
[2025-01-16T05:41:56.045+0000] {parse.py:78} INFO - Cell number: 9 in Row number: 10
