[2024-12-28T16:21:49.165+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2024-12-28T16:21:51.728+0000] {taskinstance.py:2613} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: movie_pipeline.parse_genre manual__2024-12-27T11:38:32.797674+00:00 [queued]>
[2024-12-28T16:21:51.760+0000] {taskinstance.py:2613} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: movie_pipeline.parse_genre manual__2024-12-27T11:38:32.797674+00:00 [queued]>
[2024-12-28T16:21:51.762+0000] {taskinstance.py:2866} INFO - Starting attempt 2 of 2
[2024-12-28T16:21:51.829+0000] {taskinstance.py:2889} INFO - Executing <Task(PythonOperator): parse_genre> on 2024-12-27 11:38:32.797674+00:00
[2024-12-28T16:21:51.877+0000] {standard_task_runner.py:72} INFO - Started process 15691 to run task
[2024-12-28T16:21:51.980+0000] {standard_task_runner.py:104} INFO - Running: ['airflow', 'tasks', 'run', 'movie_pipeline', 'parse_genre', 'manual__2024-12-27T11:38:32.797674+00:00', '--job-id', '100', '--raw', '--subdir', 'DAGS_FOLDER/pipeline_dag.py', '--cfg-path', '/tmp/tmpwpifyqvy']
[2024-12-28T16:21:52.094+0000] {standard_task_runner.py:105} INFO - Job 100: Subtask parse_genre
[2024-12-28T16:21:52.511+0000] {task_command.py:467} INFO - Running <TaskInstance: movie_pipeline.parse_genre manual__2024-12-27T11:38:32.797674+00:00 [running]> on host e0a3add0f1ca
[2024-12-28T16:21:52.886+0000] {taskinstance.py:3132} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='airflow' AIRFLOW_CTX_DAG_ID='movie_pipeline' AIRFLOW_CTX_TASK_ID='parse_genre' AIRFLOW_CTX_EXECUTION_DATE='2024-12-27T11:38:32.797674+00:00' AIRFLOW_CTX_TRY_NUMBER='2' AIRFLOW_CTX_DAG_RUN_ID='manual__2024-12-27T11:38:32.797674+00:00'
[2024-12-28T16:23:20.985+0000] {parse.py:332} INFO - Iteration: 82 and movie_id: tt14824600
[2024-12-28T16:23:22.046+0000] {parse.py:332} INFO - Iteration: 83 and movie_id: tt14824600
[2024-12-28T16:23:22.821+0000] {parse.py:332} INFO - Iteration: 84 and movie_id: tt14824600
[2024-12-28T16:23:23.848+0000] {parse.py:332} INFO - Iteration: 85 and movie_id: tt14824600
[2024-12-28T16:23:24.887+0000] {parse.py:332} INFO - Iteration: 86 and movie_id: tt14824600
[2024-12-28T16:23:25.726+0000] {parse.py:332} INFO - Iteration: 87 and movie_id: tt14824600
[2024-12-28T16:23:26.866+0000] {parse.py:332} INFO - Iteration: 88 and movie_id: tt14824600
[2024-12-28T16:23:27.628+0000] {parse.py:332} INFO - Iteration: 89 and movie_id: tt14824600
[2024-12-28T16:23:28.650+0000] {parse.py:332} INFO - Iteration: 90 and movie_id: tt8999762
[2024-12-28T16:23:29.566+0000] {parse.py:332} INFO - Iteration: 91 and movie_id: tt8999762
[2024-12-28T16:23:30.579+0000] {parse.py:332} INFO - Iteration: 92 and movie_id: tt21823606
[2024-12-28T16:23:31.330+0000] {parse.py:332} INFO - Iteration: 93 and movie_id: tt21823606
[2024-12-28T16:23:32.325+0000] {parse.py:332} INFO - Iteration: 94 and movie_id: tt21823606
[2024-12-28T16:23:33.228+0000] {parse.py:332} INFO - Iteration: 95 and movie_id: tt20215234
[2024-12-28T16:23:34.263+0000] {parse.py:332} INFO - Iteration: 96 and movie_id: tt20215234
[2024-12-28T16:23:35.030+0000] {parse.py:332} INFO - Iteration: 97 and movie_id: tt20215234
[2024-12-28T16:23:36.014+0000] {parse.py:332} INFO - Iteration: 98 and movie_id: tt20215234
[2024-12-28T16:23:36.934+0000] {parse.py:332} INFO - Iteration: 99 and movie_id: tt23055660
[2024-12-28T16:23:37.979+0000] {parse.py:332} INFO - Iteration: 100 and movie_id: tt14260836
[2024-12-28T16:23:38.842+0000] {parse.py:332} INFO - Iteration: 101 and movie_id: tt14260836
[2024-12-28T16:23:39.946+0000] {parse.py:332} INFO - Iteration: 102 and movie_id: tt14260836
[2024-12-28T16:23:40.764+0000] {parse.py:332} INFO - Iteration: 103 and movie_id: tt14260836
[2024-12-28T16:23:41.902+0000] {parse.py:332} INFO - Iteration: 104 and movie_id: tt26446278
[2024-12-28T16:23:42.830+0000] {parse.py:332} INFO - Iteration: 105 and movie_id: tt26446278
[2024-12-28T16:23:43.827+0000] {parse.py:332} INFO - Iteration: 106 and movie_id: tt26446278
[2024-12-28T16:23:44.625+0000] {parse.py:332} INFO - Iteration: 107 and movie_id: tt26446278
[2024-12-28T16:23:45.699+0000] {parse.py:332} INFO - Iteration: 108 and movie_id: tt26446278
[2024-12-28T16:23:46.729+0000] {parse.py:332} INFO - Iteration: 109 and movie_id: tt26446278
[2024-12-28T16:23:47.601+0000] {parse.py:332} INFO - Iteration: 110 and movie_id: tt26446278
[2024-12-28T16:23:48.699+0000] {parse.py:332} INFO - Iteration: 111 and movie_id: tt26446278
[2024-12-28T16:23:49.557+0000] {parse.py:332} INFO - Iteration: 112 and movie_id: tt28082769
[2024-12-28T16:23:50.561+0000] {parse.py:332} INFO - Iteration: 113 and movie_id: tt28082769
[2024-12-28T16:23:51.331+0000] {parse.py:332} INFO - Iteration: 114 and movie_id: tt28082769
[2024-12-28T16:23:52.338+0000] {parse.py:332} INFO - Iteration: 115 and movie_id: tt28082769
[2024-12-28T16:23:53.119+0000] {parse.py:332} INFO - Iteration: 116 and movie_id: tt28082769
[2024-12-28T16:23:54.102+0000] {parse.py:332} INFO - Iteration: 117 and movie_id: tt28082769
[2024-12-28T16:23:54.999+0000] {parse.py:332} INFO - Iteration: 118 and movie_id: tt29623480
[2024-12-28T16:23:56.107+0000] {parse.py:332} INFO - Iteration: 119 and movie_id: tt29623480
[2024-12-28T16:23:56.978+0000] {parse.py:332} INFO - Iteration: 120 and movie_id: tt29623480
[2024-12-28T16:23:58.034+0000] {parse.py:332} INFO - Iteration: 121 and movie_id: tt29623480
[2024-12-28T16:23:58.929+0000] {parse.py:332} INFO - Iteration: 122 and movie_id: tt21987878
[2024-12-28T16:24:00.126+0000] {parse.py:332} INFO - Iteration: 123 and movie_id: tt21987878
[2024-12-28T16:24:00.913+0000] {parse.py:332} INFO - Iteration: 124 and movie_id: tt21987878
[2024-12-28T16:24:01.948+0000] {python.py:240} INFO - Done. Returned value was: run_20241225/genre_parsed_20241225.json
[2024-12-28T16:24:02.024+0000] {taskinstance.py:340} INFO - ::group::Post task execution logs
[2024-12-28T16:24:02.025+0000] {taskinstance.py:352} INFO - Marking task as SUCCESS. dag_id=movie_pipeline, task_id=parse_genre, run_id=manual__2024-12-27T11:38:32.797674+00:00, execution_date=20241227T113832, start_date=20241228T162151, end_date=20241228T162402
[2024-12-28T16:24:02.112+0000] {local_task_job_runner.py:266} INFO - Task exited with return code 0
[2024-12-28T16:24:02.116+0000] {standard_task_runner.py:217} INFO - Process not found (most likely exited), stop collecting metrics
[2024-12-28T16:24:02.165+0000] {taskinstance.py:3895} INFO - 0 downstream tasks scheduled from follow-on schedule check
[2024-12-28T16:24:02.170+0000] {local_task_job_runner.py:245} INFO - ::endgroup::
