[2024-12-29T04:43:22.059+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2024-12-29T04:43:22.136+0000] {taskinstance.py:2613} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: movie_pipeline.scrape_filmmakers manual__2024-12-27T11:38:32.797674+00:00 [queued]>
[2024-12-29T05:03:10.090+0000] {extract.py:152} INFO - movie iteration 9 and filmamker iteration 1 for movie_id : tt29137778 and filmmaker_id: nm3220108
[2024-12-29T05:03:30.136+0000] {extract.py:152} INFO - movie iteration 9 and filmamker iteration 2 for movie_id : tt29137778 and filmmaker_id: nm4137576
[2024-12-29T05:03:47.011+0000] {extract.py:152} INFO - movie iteration 9 and filmamker iteration 3 for movie_id : tt29137778 and filmmaker_id: nm7918285
[2024-12-29T05:04:05.839+0000] {extract.py:152} INFO - movie iteration 9 and filmamker iteration 4 for movie_id : tt29137778 and filmmaker_id: nm1685408
[2024-12-29T05:04:25.358+0000] {extract.py:152} INFO - movie iteration 9 and filmamker iteration 5 for movie_id : tt29137778 and filmmaker_id: nm0568180
[2024-12-29T05:04:51.688+0000] {extract.py:152} INFO - movie iteration 9 and filmamker iteration 6 for movie_id : tt29137778 and filmmaker_id: nm0592874
[2024-12-29T05:05:07.776+0000] {extract.py:152} INFO - movie iteration 10 and filmamker iteration 0 for movie_id : tt8790086 and filmmaker_id: nm1170855
[2024-12-29T05:05:22.746+0000] {extract.py:152} INFO - movie iteration 10 and filmamker iteration 1 for movie_id : tt8790086 and filmmaker_id: nm0921013
[2024-12-29T05:05:37.915+0000] {extract.py:152} INFO - movie iteration 10 and filmamker iteration 2 for movie_id : tt8790086 and filmmaker_id: nm1436466
[2024-12-29T05:05:51.909+0000] {extract.py:152} INFO - movie iteration 10 and filmamker iteration 3 for movie_id : tt8790086 and filmmaker_id: nm0391344
[2024-12-29T05:06:08.337+0000] {extract.py:152} INFO - movie iteration 10 and filmamker iteration 4 for movie_id : tt8790086 and filmmaker_id: nm1093951
[2024-12-29T05:06:27.064+0000] {extract.py:152} INFO - movie iteration 10 and filmamker iteration 5 for movie_id : tt8790086 and filmmaker_id: nm3663196
[2024-12-29T05:06:49.020+0000] {extract.py:152} INFO - movie iteration 10 and filmamker iteration 6 for movie_id : tt8790086 and filmmaker_id: nm9538520
[2024-12-29T05:07:05.146+0000] {extract.py:152} INFO - movie iteration 11 and filmamker iteration 0 for movie_id : tt14948432 and filmmaker_id: nm0440458
[2024-12-29T05:07:28.494+0000] {extract.py:152} INFO - movie iteration 11 and filmamker iteration 1 for movie_id : tt14948432 and filmmaker_id: nm0604555
[2024-12-29T05:07:50.591+0000] {extract.py:152} INFO - movie iteration 11 and filmamker iteration 2 for movie_id : tt14948432 and filmmaker_id: nm1205652
[2024-12-29T05:08:06.755+0000] {extract.py:152} INFO - movie iteration 11 and filmamker iteration 3 for movie_id : tt14948432 and filmmaker_id: nm0425005
[2024-12-29T05:08:22.046+0000] {extract.py:152} INFO - movie iteration 11 and filmamker iteration 4 for movie_id : tt14948432 and filmmaker_id: nm0262635
[2024-12-29T05:08:45.560+0000] {extract.py:152} INFO - movie iteration 11 and filmamker iteration 5 for movie_id : tt14948432 and filmmaker_id: nm0005154
[2024-12-29T05:09:11.273+0000] {extract.py:152} INFO - movie iteration 12 and filmamker iteration 0 for movie_id : tt2347285 and filmmaker_id: nm0420817
[2024-12-29T05:09:30.001+0000] {extract.py:152} INFO - movie iteration 12 and filmamker iteration 1 for movie_id : tt2347285 and filmmaker_id: nm0732393
[2024-12-29T05:09:43.135+0000] {extract.py:152} INFO - movie iteration 12 and filmamker iteration 2 for movie_id : tt2347285 and filmmaker_id: nm1480232
[2024-12-29T05:09:57.946+0000] {extract.py:152} INFO - movie iteration 12 and filmamker iteration 3 for movie_id : tt2347285 and filmmaker_id: nm3056833
[2024-12-29T05:10:11.582+0000] {extract.py:152} INFO - movie iteration 12 and filmamker iteration 4 for movie_id : tt2347285 and filmmaker_id: nm14398475
[2024-12-29T05:10:25.721+0000] {extract.py:152} INFO - movie iteration 12 and filmamker iteration 5 for movie_id : tt2347285 and filmmaker_id: nm8407821
[2024-12-29T05:10:41.571+0000] {extract.py:152} INFO - movie iteration 12 and filmamker iteration 6 for movie_id : tt2347285 and filmmaker_id: nm0339460
[2024-12-29T05:10:59.892+0000] {extract.py:152} INFO - movie iteration 13 and filmamker iteration 0 for movie_id : tt14824600 and filmmaker_id: nm0436784
[2024-12-29T05:11:15.458+0000] {extract.py:152} INFO - movie iteration 13 and filmamker iteration 1 for movie_id : tt14824600 and filmmaker_id: nm2731620
[2024-12-29T05:11:27.692+0000] {extract.py:152} INFO - movie iteration 13 and filmamker iteration 2 for movie_id : tt14824600 and filmmaker_id: nm2176993
[2024-12-29T05:11:38.998+0000] {extract.py:152} INFO - movie iteration 13 and filmamker iteration 3 for movie_id : tt14824600 and filmmaker_id: nm3907831
[2024-12-29T05:11:51.023+0000] {extract.py:152} INFO - movie iteration 13 and filmamker iteration 4 for movie_id : tt14824600 and filmmaker_id: nm0004051
[2024-12-29T05:12:10.323+0000] {extract.py:152} INFO - movie iteration 13 and filmamker iteration 5 for movie_id : tt14824600 and filmmaker_id: nm3230329
[2024-12-29T05:12:21.548+0000] {extract.py:152} INFO - movie iteration 13 and filmamker iteration 6 for movie_id : tt14824600 and filmmaker_id: nm0001584
[2024-12-29T05:12:38.492+0000] {extract.py:152} INFO - movie iteration 14 and filmamker iteration 0 for movie_id : tt8999762 and filmmaker_id: nm1227232
[2024-12-29T05:12:54.763+0000] {extract.py:152} INFO - movie iteration 14 and filmamker iteration 1 for movie_id : tt8999762 and filmmaker_id: nm1227232
[2024-12-29T05:13:07.575+0000] {extract.py:152} INFO - movie iteration 14 and filmamker iteration 2 for movie_id : tt8999762 and filmmaker_id: nm2178754
[2024-12-29T05:13:20.786+0000] {extract.py:152} INFO - movie iteration 14 and filmamker iteration 3 for movie_id : tt8999762 and filmmaker_id: nm0004778
[2024-12-29T05:13:39.486+0000] {extract.py:152} INFO - movie iteration 14 and filmamker iteration 4 for movie_id : tt8999762 and filmmaker_id: nm0428065
[2024-12-29T05:13:56.149+0000] {extract.py:152} INFO - movie iteration 14 and filmamker iteration 5 for movie_id : tt8999762 and filmmaker_id: nm0001602
[2024-12-29T05:14:14.246+0000] {extract.py:152} INFO - movie iteration 15 and filmamker iteration 0 for movie_id : tt21823606 and filmmaker_id: nm0251986
[2024-12-29T05:14:31.311+0000] {extract.py:152} INFO - movie iteration 15 and filmamker iteration 1 for movie_id : tt21823606 and filmmaker_id: nm0251986
[2024-12-29T05:14:45.623+0000] {extract.py:152} INFO - movie iteration 15 and filmamker iteration 2 for movie_id : tt21823606 and filmmaker_id: nm0001085
[2024-12-29T05:15:01.106+0000] {extract.py:152} INFO - movie iteration 15 and filmamker iteration 3 for movie_id : tt21823606 and filmmaker_id: nm0251986
[2024-12-29T05:15:20.649+0000] {extract.py:152} INFO - movie iteration 15 and filmamker iteration 4 for movie_id : tt21823606 and filmmaker_id: nm6159473
[2024-12-29T05:15:33.998+0000] {extract.py:152} INFO - movie iteration 16 and filmamker iteration 0 for movie_id : tt20215234 and filmmaker_id: nm0074163
[2024-12-29T05:15:52.648+0000] {extract.py:152} INFO - movie iteration 16 and filmamker iteration 1 for movie_id : tt20215234 and filmmaker_id: nm1661186
[2024-12-29T05:16:18.973+0000] {extract.py:152} INFO - movie iteration 16 and filmamker iteration 2 for movie_id : tt20215234 and filmmaker_id: nm0365249
[2024-12-29T05:16:32.807+0000] {extract.py:152} INFO - movie iteration 16 and filmamker iteration 3 for movie_id : tt20215234 and filmmaker_id: nm0000146
[2024-12-29T05:16:50.988+0000] {extract.py:152} INFO - movie iteration 16 and filmamker iteration 4 for movie_id : tt20215234 and filmmaker_id: nm0001804
[2024-12-29T05:17:19.300+0000] {extract.py:152} INFO - movie iteration 16 and filmamker iteration 5 for movie_id : tt20215234 and filmmaker_id: nm0001475
[2024-12-29T05:17:42.862+0000] {extract.py:152} INFO - movie iteration 17 and filmamker iteration 0 for movie_id : tt23055660 and filmmaker_id: nm8840476
[2024-12-29T05:17:58.295+0000] {extract.py:152} INFO - movie iteration 17 and filmamker iteration 1 for movie_id : tt23055660 and filmmaker_id: nm8840476
[2024-12-29T05:18:08.615+0000] {extract.py:152} INFO - movie iteration 17 and filmamker iteration 2 for movie_id : tt23055660 and filmmaker_id: nm0055656
[2024-12-29T05:18:26.418+0000] {extract.py:152} INFO - movie iteration 17 and filmamker iteration 3 for movie_id : tt23055660 and filmmaker_id: nm1019209
[2024-12-29T05:18:37.819+0000] {extract.py:152} INFO - movie iteration 17 and filmamker iteration 4 for movie_id : tt23055660 and filmmaker_id: nm5376232
[2024-12-29T05:18:49.960+0000] {extract.py:152} INFO - movie iteration 17 and filmamker iteration 5 for movie_id : tt23055660 and filmmaker_id: nm1518261
[2024-12-29T05:19:03.959+0000] {extract.py:152} INFO - movie iteration 17 and filmamker iteration 6 for movie_id : tt23055660 and filmmaker_id: nm0254712
[2024-12-29T05:19:27.686+0000] {extract.py:152} INFO - movie iteration 18 and filmamker iteration 0 for movie_id : tt14260836 and filmmaker_id: nm1243905
[2024-12-29T05:19:48.530+0000] {extract.py:152} INFO - movie iteration 18 and filmamker iteration 1 for movie_id : tt14260836 and filmmaker_id: nm2352568
[2024-12-29T05:20:03.413+0000] {extract.py:152} INFO - movie iteration 18 and filmamker iteration 2 for movie_id : tt14260836 and filmmaker_id: nm2555314
[2024-12-29T05:20:15.150+0000] {extract.py:152} INFO - movie iteration 18 and filmamker iteration 3 for movie_id : tt14260836 and filmmaker_id: nm1243905
[2024-12-29T05:20:26.578+0000] {extract.py:152} INFO - movie iteration 18 and filmamker iteration 4 for movie_id : tt14260836 and filmmaker_id: nm0005560
[2024-12-29T05:20:43.548+0000] {extract.py:152} INFO - movie iteration 18 and filmamker iteration 5 for movie_id : tt14260836 and filmmaker_id: nm5956650
[2024-12-29T05:20:58.316+0000] {extract.py:152} INFO - movie iteration 18 and filmamker iteration 6 for movie_id : tt14260836 and filmmaker_id: nm0671487
[2024-12-29T05:21:11.297+0000] {extract.py:152} INFO - movie iteration 19 and filmamker iteration 0 for movie_id : tt26446278 and filmmaker_id: nm0478799
[2024-12-29T05:21:26.833+0000] {extract.py:152} INFO - movie iteration 19 and filmamker iteration 1 for movie_id : tt26446278 and filmmaker_id: nm1141181
[2024-12-29T05:21:50.358+0000] {extract.py:152} INFO - movie iteration 19 and filmamker iteration 2 for movie_id : tt26446278 and filmmaker_id: nm0241416
[2024-12-29T05:22:10.335+0000] {extract.py:152} INFO - movie iteration 19 and filmamker iteration 3 for movie_id : tt26446278 and filmmaker_id: nm0478799
[2024-12-29T05:22:24.240+0000] {extract.py:152} INFO - movie iteration 19 and filmamker iteration 4 for movie_id : tt26446278 and filmmaker_id: nm1141181
[2024-12-29T05:22:47.058+0000] {extract.py:152} INFO - movie iteration 19 and filmamker iteration 5 for movie_id : tt26446278 and filmmaker_id: nm2582755
