[2024-12-27T11:38:57.291+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2024-12-27T11:38:57.416+0000] {taskinstance.py:2613} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: movie_pipeline.parse_collection_page manual__2024-12-27T11:38:32.797674+00:00 [queued]>
[2024-12-27T11:38:57.775+0000] {taskinstance.py:2613} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: movie_pipeline.parse_collection_page manual__2024-12-27T11:38:32.797674+00:00 [queued]>
[2024-12-27T11:38:58.760+0000] {parse.py:76} INFO - Cell number: 2 in Row number: 9
[2024-12-27T11:38:58.762+0000] {parse.py:76} INFO - Cell number: 3 in Row number: 9
[2024-12-27T11:38:58.764+0000] {parse.py:76} INFO - Cell number: 4 in Row number: 9
[2024-12-27T11:38:58.765+0000] {parse.py:76} INFO - Cell number: 5 in Row number: 9
[2024-12-27T11:38:58.767+0000] {parse.py:76} INFO - Cell number: 6 in Row number: 9
[2024-12-27T11:38:58.769+0000] {parse.py:76} INFO - Cell number: 7 in Row number: 9
[2024-12-27T11:38:58.772+0000] {parse.py:76} INFO - Cell number: 8 in Row number: 9
[2024-12-27T11:38:58.774+0000] {parse.py:76} INFO - Cell number: 9 in Row number: 9
[2024-12-27T11:38:58.776+0000] {parse.py:76} INFO - Cell number: 10 in Row number: 9
[2024-12-27T11:38:58.778+0000] {parse.py:76} INFO - Cell number: 11 in Row number: 9
[2024-12-27T11:38:58.780+0000] {parse.py:76} INFO - Cell number: 12 in Row number: 9
[2024-12-27T11:38:58.783+0000] {parse.py:68} INFO - Row number: 10 in collection page
[2024-12-27T11:38:58.784+0000] {parse.py:76} INFO - Cell number: 0 in Row number: 10
[2024-12-27T11:38:58.787+0000] {parse.py:76} INFO - Cell number: 1 in Row number: 10
[2024-12-27T11:38:58.789+0000] {parse.py:76} INFO - Cell number: 2 in Row number: 10
[2024-12-27T11:38:58.791+0000] {parse.py:76} INFO - Cell number: 3 in Row number: 10
[2024-12-27T11:38:58.793+0000] {parse.py:76} INFO - Cell number: 4 in Row number: 10
[2024-12-27T11:38:58.795+0000] {parse.py:76} INFO - Cell number: 5 in Row number: 10
[2024-12-27T11:38:58.797+0000] {parse.py:76} INFO - Cell number: 6 in Row number: 10
[2024-12-27T11:38:58.799+0000] {parse.py:76} INFO - Cell number: 7 in Row number: 10
[2024-12-27T11:38:58.801+0000] {parse.py:76} INFO - Cell number: 8 in Row number: 10
[2024-12-27T11:38:58.802+0000] {parse.py:76} INFO - Cell number: 9 in Row number: 10
[2024-12-27T11:38:58.806+0000] {parse.py:76} INFO - Cell number: 10 in Row number: 10
[2024-12-27T11:38:58.808+0000] {parse.py:76} INFO - Cell number: 11 in Row number: 10
[2024-12-27T11:38:58.809+0000] {parse.py:76} INFO - Cell number: 12 in Row number: 10
[2024-12-27T11:38:58.811+0000] {parse.py:68} INFO - Row number: 11 in collection page
