[2025-01-09T12:28:14.854+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2025-01-09T12:28:14.990+0000] {taskinstance.py:2613} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: movie_pipeline.parse_collection_page scheduled__2025-01-08T00:00:00+00:00 [queued]>
[2025-01-09T12:28:15.032+0000] {taskinstance.py:2613} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: movie_pipeline.parse_collection_page scheduled__2025-01-08T00:00:00+00:00 [queued]>
[2025-01-09T12:28:16.621+0000] {parse.py:76} INFO - Cell number: 8 in Row number: 5
[2025-01-09T12:28:16.627+0000] {parse.py:76} INFO - Cell number: 9 in Row number: 5
[2025-01-09T12:28:16.630+0000] {parse.py:76} INFO - Cell number: 10 in Row number: 5
[2025-01-09T12:28:16.631+0000] {parse.py:76} INFO - Cell number: 11 in Row number: 5
[2025-01-09T12:28:16.633+0000] {parse.py:76} INFO - Cell number: 12 in Row number: 5
[2025-01-09T12:28:16.635+0000] {parse.py:68} INFO - Row number: 6 in collection page
[2025-01-09T12:28:16.638+0000] {parse.py:76} INFO - Cell number: 0 in Row number: 6
[2025-01-09T12:28:16.639+0000] {parse.py:76} INFO - Cell number: 1 in Row number: 6
[2025-01-09T12:28:16.641+0000] {parse.py:76} INFO - Cell number: 2 in Row number: 6
[2025-01-09T12:28:16.646+0000] {parse.py:76} INFO - Cell number: 3 in Row number: 6
[2025-01-09T12:28:16.648+0000] {parse.py:76} INFO - Cell number: 4 in Row number: 6
[2025-01-09T12:28:16.650+0000] {parse.py:76} INFO - Cell number: 5 in Row number: 6
[2025-01-09T12:28:16.652+0000] {parse.py:76} INFO - Cell number: 6 in Row number: 6
[2025-01-09T12:28:16.655+0000] {parse.py:76} INFO - Cell number: 7 in Row number: 6
[2025-01-09T12:28:16.656+0000] {parse.py:76} INFO - Cell number: 8 in Row number: 6
[2025-01-09T12:28:16.658+0000] {parse.py:76} INFO - Cell number: 9 in Row number: 6
[2025-01-09T12:28:16.664+0000] {parse.py:76} INFO - Cell number: 10 in Row number: 6
[2025-01-09T12:28:16.665+0000] {parse.py:76} INFO - Cell number: 11 in Row number: 6
[2025-01-09T12:28:16.667+0000] {parse.py:76} INFO - Cell number: 12 in Row number: 6
[2025-01-09T12:28:16.672+0000] {parse.py:68} INFO - Row number: 7 in collection page
[2025-01-09T12:28:16.674+0000] {parse.py:76} INFO - Cell number: 0 in Row number: 7
[2025-01-09T12:28:16.679+0000] {parse.py:76} INFO - Cell number: 1 in Row number: 7
[2025-01-09T12:28:16.680+0000] {parse.py:76} INFO - Cell number: 2 in Row number: 7
[2025-01-09T12:28:16.682+0000] {parse.py:76} INFO - Cell number: 3 in Row number: 7
[2025-01-09T12:28:16.684+0000] {parse.py:76} INFO - Cell number: 4 in Row number: 7
[2025-01-09T12:28:16.686+0000] {parse.py:76} INFO - Cell number: 5 in Row number: 7
