[2024-12-29T04:23:24.336+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2024-12-29T04:23:24.399+0000] {taskinstance.py:2613} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: movie_pipeline.parse_collection_page scheduled__2024-12-28T00:00:00+00:00 [queued]>
[2024-12-29T04:23:24.647+0000] {taskinstance.py:2613} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: movie_pipeline.parse_collection_page scheduled__2024-12-28T00:00:00+00:00 [queued]>
[2024-12-29T04:23:25.321+0000] {parse.py:76} INFO - Cell number: 7 in Row number: 5
[2024-12-29T04:23:25.322+0000] {parse.py:76} INFO - Cell number: 8 in Row number: 5
[2024-12-29T04:23:25.323+0000] {parse.py:76} INFO - Cell number: 9 in Row number: 5
[2024-12-29T04:23:25.325+0000] {parse.py:76} INFO - Cell number: 10 in Row number: 5
[2024-12-29T04:23:25.326+0000] {parse.py:76} INFO - Cell number: 11 in Row number: 5
[2024-12-29T04:23:25.327+0000] {parse.py:76} INFO - Cell number: 12 in Row number: 5
[2024-12-29T04:23:25.329+0000] {parse.py:68} INFO - Row number: 6 in collection page
[2024-12-29T04:23:25.330+0000] {parse.py:76} INFO - Cell number: 0 in Row number: 6
[2024-12-29T04:23:25.332+0000] {parse.py:76} INFO - Cell number: 1 in Row number: 6
[2024-12-29T04:23:25.333+0000] {parse.py:76} INFO - Cell number: 2 in Row number: 6
[2024-12-29T04:23:25.335+0000] {parse.py:76} INFO - Cell number: 3 in Row number: 6
[2024-12-29T04:23:25.336+0000] {parse.py:76} INFO - Cell number: 4 in Row number: 6
[2024-12-29T04:23:25.337+0000] {parse.py:76} INFO - Cell number: 5 in Row number: 6
[2024-12-29T04:23:25.338+0000] {parse.py:76} INFO - Cell number: 6 in Row number: 6
[2024-12-29T04:23:25.340+0000] {parse.py:76} INFO - Cell number: 7 in Row number: 6
[2024-12-29T04:23:25.341+0000] {parse.py:76} INFO - Cell number: 8 in Row number: 6
[2024-12-29T04:23:25.343+0000] {parse.py:76} INFO - Cell number: 9 in Row number: 6
[2024-12-29T04:23:25.344+0000] {parse.py:76} INFO - Cell number: 10 in Row number: 6
[2024-12-29T04:23:25.345+0000] {parse.py:76} INFO - Cell number: 11 in Row number: 6
[2024-12-29T04:23:25.347+0000] {parse.py:76} INFO - Cell number: 12 in Row number: 6
[2024-12-29T04:23:25.348+0000] {parse.py:68} INFO - Row number: 7 in collection page
[2024-12-29T04:23:25.349+0000] {parse.py:76} INFO - Cell number: 0 in Row number: 7
[2024-12-29T04:23:25.351+0000] {parse.py:76} INFO - Cell number: 1 in Row number: 7
[2024-12-29T04:23:25.353+0000] {parse.py:76} INFO - Cell number: 2 in Row number: 7
[2024-12-29T04:23:25.354+0000] {parse.py:76} INFO - Cell number: 3 in Row number: 7
[2024-12-29T04:23:25.355+0000] {parse.py:76} INFO - Cell number: 4 in Row number: 7
[2024-12-29T04:23:25.357+0000] {parse.py:76} INFO - Cell number: 5 in Row number: 7
[2024-12-29T04:23:25.358+0000] {parse.py:76} INFO - Cell number: 6 in Row number: 7
[2024-12-29T04:23:25.359+0000] {parse.py:76} INFO - Cell number: 7 in Row number: 7
[2024-12-29T04:23:25.361+0000] {parse.py:76} INFO - Cell number: 8 in Row number: 7
